"state_num","year","district","raceid","stcd","stename","seat","party","redist","candnumber","prez","votep","incname","candidate","candvotes","tvotes","candpct","primary_winner","inc","gender","Match","GenVote","GenOpponent","IncumbentOppo","GenWin","GenTotalVotes","OtherGenVotes","PrimMargin","Inc_in_Primary","Primary_Oppo_Inc","PrezYear","Sub82","Y82to90","Y92to00","Y02to10","Post90","dem","LastName","OppoGenFunds","OppoPrimFunds","GeneralFunds","PrimaryFunds","WinFunds","PrimCF_Diff","GenLastName","GenOppoGenFunds","GenOppoPrimFunds","CngrsNum","StICPSR","StPOAbrv","DifDPct","DemPct","DemWin","DWinPrv","DWinNxt","DifPVDec","OpenSeat","IncStatus","PrvTrmsD","PrvTrmsO","VoteTotW","VoteTotL","VoteCast","SoSDem","PrvElcOb","NxtElcOb","DemInc","DemOpen","NonDInc","NonDOpen","DExpAdv","RExpAdv","ForgnPct","GovWkPct","BlackPct","UrbanPct","VtTotPct","DPctNxt","DifDPNxt","DPctPrv","DifDPPrv","ElcSwing","GovDem","IncDWNOM1","DSpndPct","DDonaPct","CQRating3","state_abbrev"
3,1992,6,199203061,306,"arizona",4,"D",1,3,49.94,NA,"new seat","english_karan",23389,53201,0.4396346,1,0,1,"1992-arizona-06",0.5614,"Wead, Doug",0,1,221325,13047,0.1443394,0,0,1,0,0,1,0,1,1,"english",2350,53308,42103,18299,42103,-35009,"wead",113447,105493,103,61,"""AZ""",11.5956693887711,53.0144393444061,1,NA,NA,-0.0304666666666667,1,"""open seat, new (reapportionment)""",0,NA,124251,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,3.22549531044526,7.77335811244063,1.14195820155848,31.2726190864334,78.18,NA,NA,NA,NA,-2.28351071724401,0,NA,36.9239122736609,38.3186696928321,0,"AZ"
3,1994,1,199403010,301,"arizona",3,"R",0,5,54.52,0,"COOPERSMITH, SAM","smith_susan_b",11359,50966,0.2228741,0,0,1,"1994-arizona-01",0.5893,"Blanchard, Chuck",0,1,171977,8890,-0.1668367,1,1,0,0,0,1,0,1,0,"smith",281196,139279,1050,49308,281196,-89971,"blanchard",146371,149229,104,61,"""AZ""",-16.9865131378174,39.0491366386414,0,1,0,-0.0578000000000001,1,"""Democratic open seat""",NA,0,101350,NA,NA,1,357,359,0,1,0,0,0,0,6.87980197014818,7.4105665035518,3.16592367272031,99.6326231915615,23.88,39.8177236318588,-20.3645557165146,51.3032376766205,6.7122220993042,-12.75936913957,0,-0.233999997377396,46.4139174719881,42.713498019328,0,"AZ"
3,1996,2,199603020,302,"arizona",1,"R",0,3,30.54,0,"PASTOR, ED","florez_vida",2836,12608,0.2249365,0,0,1,"1996-arizona-02",0.3212,"Pastor, Ed",1,0,120768,5333,-0.3574715,0,0,1,0,0,1,0,1,0,"florez",54658,23906,500,16843,54658,-7063,"pastor",119821,259081,105,61,"""AZ""",34.2550843954086,65.0129675865173,1,1,1,0.320466666666667,0,"""Democratic incumbent""",3,NA,81982,NA,NA,0,389,391,1,0,0,0,1,0,16.9490301080654,6.99278921785808,6.64589473413853,79.0558241673569,45.33,67.7761554718018,39.7686153650284,62.3110949993134,29.6597212553024,7.01724511661807,0,-0.397000014781952,79.9450376141435,83.4305079318488,1,"AZ"
3,1996,4,199603040,304,"arizona",0,"R",0,2,52.54,62.59,"SHADEGG, JOHN","silver_robin",11944,46250,0.2582487,0,0,1,"1996-arizona-04",0.6678,"Milton, Maria Elena",0,1,225343,0,-0.4835027,1,1,1,0,0,1,0,1,0,"silver",78801,322432,2200,34050,78801,-288382,"milton",87885,100,105,61,"""AZ""",-33.5617274045944,33.2191377878189,0,0,0,-0.0981333333333333,0,"""Republican incumbent""",NA,1,150486,NA,NA,0,432,434,0,0,1,0,0,1,5.50475841154856,6.41452216116376,1.90205466442228,99.9297536629617,78.18,31.1908930540085,-33.4865421056747,35.9769374132156,-24.2153257131577,7.01724511661807,0,0.763999998569489,18.4644060026868,17.7401495452679,-1,"AZ"
3,1996,4,199603041,304,"arizona",0,"D",0,3,47.46,37.41,"SHADEGG, JOHN","milton_maria_elena",8279,15387,0.5380516,1,0,1,"1996-arizona-04",0.3322,"Shadegg, John",1,0,225343,0,0.0800676,0,0,1,0,0,1,0,1,1,"milton",NA,5500,87885,100,87885,-5400,"shadegg",78801,322432,105,61,"""AZ""",-33.5617274045944,33.2191377878189,0,0,0,-0.0981333333333333,0,"""Republican incumbent""",NA,1,150486,NA,NA,0,432,434,0,0,1,0,0,1,5.50475841154856,6.41452216116376,1.90205466442228,99.9297536629617,78.18,31.1908930540085,-33.4865421056747,35.9769374132156,-24.2153257131577,7.01724511661807,0,0.763999998569489,18.4644060026868,17.7401495452679,-1,"AZ"
3,1998,4,199803041,304,"arizona",0,"D",0,2,47.46,0,"SHADEGG, JOHN","milton_maria_elena",5183,12117,0.4277461,0,0,1,"1998-arizona-04",0.3254,"Shadegg, John",1,0,152260,6562,-0.1445078,0,0,0,0,0,1,0,1,1,"milton",2500,4200,NA,6850,2500,2650,"shadegg",108810,333110,106,61,"""AZ""",-33.4865421056747,31.1908930540085,0,0,0,-0.0981333333333333,0,"""Republican incumbent""",NA,2,102722,NA,NA,0,433,435,0,0,1,0,0,1,NA,NA,NA,NA,11,NA,-32.32,33.2191377878189,-33.5617274045944,-2.24218365602175,0,0.788999974727631,2.63047282221255,1.49413496275813,-1,"AZ"
3,2000,5,200003051,305,"arizona",0,"D",0,2,51.91,0,"KOLBE, JIM","RYAN, MARY JUDGE",21201,44589,0.475476,0,0,1,"2000-arizona-05",0.3699,"Kolbe, Jim",1,0,274550,13059,-0.049048,0,0,1,0,0,1,0,1,1,"ryan",160742,161233,NA,56000,160742,-105233,"kolbe",344169,853988,107,61,"""AZ""",-26.02,NA,0,0,0,0.0218,0,"""Republican incumbent""",NA,8,NA,NA,NA,0,448,450,0,0,1,0,0,1,NA,NA,NA,NA,23.88,NA,-25.58,45.1822340488434,-6.41376376152039,4.63369551898814,0,0.421999990940094,26.466513829294,21.1407472793866,-1,"AZ"
3,2002,2,200203020,302,"arizona",4,"R",1,7,58.12,NA,"new seat","atkins_lisa",13952,53318,0.2616752,0,0,1,"2002-arizona-02",0.6211,"Camacho, Randy",0,1,161576,5926,-0.0149481,0,0,0,0,0,0,1,1,0,"atkins",125562,45375,9288,224846,125562,179471,"camacho",22700,NA,108,61,"""AZ""",-24.22,NA,0,NA,NA,-0.2342,NA,"""NA""",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,23.88,NA,NA,NA,NA,-6.69409689669877,0,NA,6.74762609632561,11.1330150920239,-1,"AZ"
3,2002,2,200203021,302,"arizona",4,"D",1,4,41.88,NA,"new seat","farley_liz",5994,19681,0.3045577,0,0,1,"2002-arizona-02",0.3789,"Franks, Trent",0,0,161576,5926,-0.0260657,0,0,0,0,0,0,1,1,1,"farley",22700,NA,900,10675,22700,NA,"franks",125562,45375,108,61,"""AZ""",-24.22,NA,0,NA,NA,-0.2342,NA,"""NA""",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,23.88,NA,NA,NA,NA,-6.69409689669877,0,NA,6.74762609632561,11.1330150920239,-1,"AZ"
3,2002,7,200203071,307,"arizona",4,"D",1,8,60.71,NA,"new seat","richardson_elaine",7589,36320,0.2089482,0,0,1,"2002-arizona-07",0.6142,"Hieb, Ross",0,1,99730,4088,-0.1995044,0,0,0,0,0,0,1,1,1,"richardson",202204,233346,19730,412007,202204,178661,"hieb",47225,18843,108,61,"""AZ""",22.84,NA,1,NA,NA,0.1458,NA,"""NA""",0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.88,NA,NA,NA,NA,-6.69409689669877,0,NA,80.5612685326262,86.842056923595,1,"AZ"
